Role_Name,Skill_Name,TEST
Finance Manager,Regulatory Compliance,Yes
Finance Manager,Regulatory Risk Assessment,Yes
Finance Director,Regulatory Strategy,Yes
Sales Manager,Sales Closure,Yes
Account Manager,Sales Strategy,Yes
Consultancy Director,Sales Strategy,Yes
Sales Director,Sales Strategy,Yes
Solutioning Director,Sales Strategy,Yes
Support Engineer,Security Administration,Yes
Finance Executive,Sense Making,Yes
Junior Engineer,Sense Making,Yes
IT Analyst,Service Level Management,Yes
Support Engineer,Service Level Management,Yes
HR Director,Skills Framework Adoption,Yes
HR Executive,Skills Framework Adoption,Yes
IT Director,Skills Framework Adoption,Yes
L&D Executive,Skills Framework Adoption,Yes
Developer,Software Configuration,Yes
Developer,Software Design,Yes
Developer,Software Testing,Yes
Developer,Solution Architecture,Yes
Admin Executive,Solutions Design Thinking,Yes
Ops Planning Exec,SOP Development and Implementation,Yes
Account Manager,Stakeholder Management,Yes
Admin Executive,Stakeholder Management,Yes
Call Centre,Stakeholder Management,Yes
Consultancy Director,Stakeholder Management,Yes
Consultant,Stakeholder Management,Yes
Developer,Stakeholder Management,Yes
Engineering Director,Stakeholder Management,Yes
Finance Director,Stakeholder Management,Yes
Finance Manager,Stakeholder Management,Yes
IT Analyst,Stakeholder Management,Yes
Sales Director,Stakeholder Management,Yes
Sales Manager,Stakeholder Management,Yes
Solutioning Director,Stakeholder Management,Yes
Support Engineer,Stakeholder Management,Yes
Consultancy Director,Strategy Planning,Yes
Sales Director,Strategy Planning,Yes
Sales Manager,Strategy Planning,Yes
Solutioning Director,Strategy Planning,Yes
Developer,System Integration,Yes
Support Engineer,System Integration,Yes
HR Director,Talent Management,Yes
Finance Executive,Tax Computation,Yes
Finance Executive,Tax Implications,Yes
Finance Director,Tax Implications,Yes
Finance Manager,Tax Implications,Yes
Call Centre,Technology Application,Yes
Admin Executive,Technology Integration,Yes
HR Director,Technology Integration,Yes
IT Director,Technology Integration,Yes
Sales Manager,Technology Integration,Yes
Engineering Director,Technology Road Mapping,Yes
Developer,User Interface Design,Yes
